Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,1510.000000,1550.000000,1350.000000,1450.000000,1058.288330,2558940000
2014-01-01,1450.000000,1770.000000,1400.000000,1665.000000,1215.207031,4047180500
2014-02-01,1665.000000,1970.000000,1625.000000,1855.000000,1353.879272,4433752000
2014-03-01,1850.000000,2100.000000,1805.000000,1915.000000,1397.670410,4016940980
2014-04-01,1950.000000,2050.000000,1870.000000,1980.000000,1445.111084,3768877000
2014-05-01,1980.000000,2210.000000,1980.000000,2040.000000,1525.217285,2393950000
2014-06-01,2060.000000,2080.000000,1970.000000,2065.000000,1543.908447,2877657000
2014-07-01,2075.000000,2440.000000,2020.000000,2240.000000,1674.748291,3555361500
2014-08-01,2240.000000,2275.000000,2120.000000,2210.000000,1652.318848,3212324500
2014-09-01,2210.000000,2235.000000,2030.000000,2085.000000,1558.861572,3310124500
2014-10-01,2150.000000,2215.000000,2000.000000,2215.000000,1656.057007,3691887500
2014-11-01,2220.000000,2310.000000,2120.000000,2305.000000,1723.346069,1785574000
2014-12-01,2300.000000,2345.000000,2200.000000,2330.000000,1742.037109,2263902000
2015-01-01,2330.000000,2420.000000,2265.000000,2335.000000,1745.775391,2732303500
2015-02-01,2335.000000,2610.000000,2320.000000,2575.000000,1925.213013,3267502000
2015-03-01,2575.000000,2655.000000,2520.000000,2655.000000,1985.025513,2290861500
2015-04-01,2655.000000,2690.000000,2250.000000,2325.000000,1774.532715,3060976500
2015-05-01,2325.000000,2550.000000,2280.000000,2355.000000,1797.429932,2737255000
2015-06-01,2345.000000,2355.000000,2010.000000,2070.000000,1579.906616,3899353000
2015-07-01,2070.000000,2180.000000,1860.000000,2000.000000,1526.479736,2812519000
2015-08-01,2025.000000,2175.000000,1805.000000,2125.000000,1621.884766,3204326500
2015-09-01,2080.000000,2110.000000,1595.000000,1730.000000,1320.405151,3273851000
2015-10-01,1745.000000,2340.000000,1710.000000,2105.000000,1606.620117,3331422000
2015-11-01,2070.000000,2320.000000,2040.000000,2155.000000,1644.782104,2364855000
2015-12-01,2205.000000,2320.000000,2085.000000,2285.000000,1744.003174,1982310000
2016-01-01,2285.000000,2365.000000,2150.000000,2245.000000,1713.473511,2113014000
2016-02-01,2270.000000,2460.000000,2085.000000,2215.000000,1690.576538,3491019000
2016-03-01,2200.000000,2300.000000,2130.000000,2285.000000,1744.003174,2566506500
2016-04-01,2260.000000,2260.000000,2010.000000,2070.000000,1579.906616,2204865000
2016-05-01,2090.000000,2135.000000,1905.000000,2070.000000,1620.082153,2668097500
2016-06-01,2070.000000,2185.000000,1980.000000,2160.000000,1690.520752,2304333500
2016-07-01,2180.000000,2400.000000,2140.000000,2305.000000,1804.004517,2370016500
2016-08-01,2320.000000,2450.000000,2295.000000,2330.000000,1823.570679,3297740000
2016-09-01,2310.000000,2450.000000,2300.000000,2440.000000,1909.661987,2405415500
2016-10-01,2440.000000,2480.000000,2365.000000,2440.000000,1909.661987,1806430500
2016-11-01,2450.000000,2595.000000,2085.000000,2180.000000,1706.173584,3335322000
2016-12-01,2180.000000,2375.000000,2155.000000,2335.000000,1827.484009,2038477500
2017-01-01,2335.000000,2465.000000,2315.000000,2345.000000,1835.310547,1534838000
2017-02-01,2360.000000,2425.000000,2330.000000,2390.000000,1870.529907,1973856500
2017-03-01,2370.000000,2650.000000,2370.000000,2595.000000,2030.972900,2456600000
2017-04-01,2595.000000,2650.000000,2485.000000,2580.000000,2080.648926,1394689500
2017-05-01,2580.000000,3060.000000,2580.000000,2895.000000,2334.681885,2568201000
2017-06-01,2895.000000,3060.000000,2840.000000,3050.000000,2459.682129,1312708000
2017-07-01,3000.000000,3100.000000,2860.000000,2955.000000,2383.069092,2439248500
2017-08-01,2980.000000,3070.000000,2955.000000,3025.000000,2439.520752,1706344500
2017-09-01,3025.000000,3150.000000,2935.000000,3055.000000,2463.714111,1734473500
2017-10-01,3055.000000,3150.000000,3025.000000,3120.000000,2516.133545,2053861500
2017-11-01,3115.000000,3410.000000,3115.000000,3210.000000,2588.714600,2431156100
2017-12-01,3210.000000,3720.000000,3210.000000,3640.000000,2935.489746,1524356200
2018-01-01,3640.000000,3920.000000,3460.000000,3700.000000,2983.876465,2611356400
2018-02-01,3730.000000,3910.000000,3650.000000,3780.000000,3048.392578,2061359700
2018-03-01,3800.000000,3820.000000,3450.000000,3600.000000,2903.231445,2486934900
2018-04-01,3500.000000,3670.000000,3160.000000,3220.000000,2596.779053,1081214100
2018-05-01,3220.000000,3300.000000,2720.000000,3080.000000,2552.685303,4487882600
2018-06-01,3080.000000,3270.000000,2740.000000,2840.000000,2353.774902,2473641400
2018-07-01,2890.000000,3110.000000,2770.000000,3070.000000,2544.397705,2195350000
2018-08-01,3070.000000,3470.000000,3020.000000,3180.000000,2635.564941,2482175800
2018-09-01,3180.000000,3220.000000,2900.000000,3150.000000,2610.701172,2379024600
2018-10-01,3150.000000,3190.000000,2870.000000,3150.000000,2610.701172,2166202100
2018-11-01,3190.000000,3760.000000,3160.000000,3620.000000,3000.234375,2748992500
2018-12-01,3720.000000,3780.000000,3520.000000,3660.000000,3033.385986,2051181200
2019-01-01,3660.000000,3870.000000,3580.000000,3850.000000,3190.856445,2729471400
2019-02-01,3880.000000,4000.000000,3750.000000,3850.000000,3190.856445,1838177500
2019-03-01,3870.000000,4140.000000,3780.000000,4110.000000,3406.343262,1499068200
2019-04-01,4140.000000,4730.000000,4130.000000,4370.000000,3621.829834,1915132300
2019-05-01,4370.000000,4420.000000,3660.000000,4100.000000,3398.055420,3300702100
2019-06-01,4100.000000,4400.000000,4100.000000,4360.000000,3729.951416,1515690500
2019-07-01,4400.000000,4560.000000,4360.000000,4480.000000,3832.610840,1656703800
2019-08-01,4490.000000,4510.000000,4000.000000,4270.000000,3652.957031,2367194500
2019-09-01,4270.000000,4350.000000,4020.000000,4120.000000,3524.632813,1911004700
2019-10-01,4120.000000,4320.000000,3810.000000,4210.000000,3601.627441,2423888300
2019-11-01,4220.000000,4330.000000,3900.000000,4090.000000,3498.968018,2468453600
2019-12-01,4150.000000,4470.000000,4120.000000,4400.000000,3764.171143,1798699400
2020-01-01,4400.000000,4760.000000,4320.000000,4460.000000,3815.500977,2351590900
2020-02-01,4460.000000,4690.000000,3910.000000,4190.000000,3584.517578,2435595500
2020-03-01,4190.000000,4300.000000,2440.000000,3020.000000,2674.887695,5387621200
2020-04-01,3010.000000,3240.000000,2560.000000,2730.000000,2418.027588,5683052300
2020-05-01,2730.000000,2950.000000,2160.000000,2950.000000,2612.886963,6235053200
2020-06-01,2950.000000,3370.000000,2800.000000,3030.000000,2683.744873,5568797700
2020-07-01,3040.000000,3250.000000,3030.000000,3160.000000,2798.888916,3111289700
2020-08-01,3170.000000,3820.000000,2970.000000,3510.000000,3108.892578,3445986500
2020-09-01,3550.000000,3690.000000,3000.000000,3040.000000,2692.602295,4003400300
2020-10-01,3090.000000,3400.000000,3060.000000,3360.000000,2976.033936,2782132900
2020-11-01,3360.000000,4390.000000,3290.000000,4090.000000,3622.612793,4865113600
2020-12-01,4130.000000,4450.000000,3950.000000,4170.000000,3693.470703,2856556400
2021-01-01,4170.000000,4950.000000,4150.000000,4180.000000,3702.327881,3599743200
2021-02-01,4180.000000,4870.000000,3960.000000,4710.000000,4171.762207,2715917800
2021-03-01,4800.000000,4880.000000,4260.000000,4400.000000,3897.187256,2469002800
2021-04-01,4350.000000,4460.000000,4050.000000,4050.000000,3587.184082,2752110600
2021-05-01,4060.000000,4280.000000,3820.000000,4260.000000,3855.728516,2769409500
2021-06-01,4350.000000,4390.000000,3860.000000,3940.000000,3566.096436,3325217700
2021-07-01,3940.000000,4030.000000,3700.000000,3710.000000,3357.923340,2132270600
2021-08-01,3770.000000,4090.000000,3481.758057,3572.665527,3233.621582,2290574201
2021-09-01,3572.665527,3880.000000,3463.576416,3850.000000,3484.636963,6073477827
2021-10-01,3850.000000,4460.000000,3830.000000,4250.000000,3846.677734,4745652300
2021-11-01,4330.000000,4340.000000,4080.000000,4090.000000,3701.861328,2919948500
2021-12-01,4090.000000,4250.000000,4050.000000,4110.000000,3719.963379,2371759500
2022-01-01,4120.000000,4240.000000,4000.000000,4070.000000,3683.759521,2155349200
2022-02-01,4120.000000,4550.000000,4060.000000,4550.000000,4118.208008,3079276500
2022-03-01,4850.000000,4860.000000,4370.000000,4660.000000,4217.768555,4613209200
2022-04-01,4690.000000,4980.000000,4530.000000,4870.000000,4582.570801,3026100600
2022-05-01,4870.000000,4870.000000,4250.000000,4630.000000,4356.735840,3667527100
2022-06-01,4540.000000,4600.000000,4120.000000,4150.000000,3905.065430,3367868300
2022-07-01,4150.000000,4430.000000,3960.000000,4360.000000,4102.671387,2883007400
2022-08-01,4390.000000,4470.000000,4220.000000,4340.000000,4083.851807,3068759600
2022-09-01,4320.000000,4700.000000,4310.000000,4490.000000,4224.998535,4101714400
2022-10-01,4500.000000,4680.000000,4260.000000,4650.000000,4375.555176,3532993300
2022-11-01,4690.000000,4980.000000,4490.000000,4980.000000,4686.078613,3796100300
2022-12-01,5000.000000,5025.000000,4710.000000,4940.000000,4648.439453,3516745800
2023-01-01,4910.000000,4920.000000,4360.000000,4580.000000,4309.687012,3515371800
2023-02-01,4630.000000,4900.000000,4600.000000,4670.000000,4449.631836,2662974600
2023-03-01,4730.000000,4920.000000,4640.000000,4730.000000,4506.800781,2858072700
2023-04-01,4770.000000,5275.000000,4760.000000,5100.000000,5100.000000,1949491800
2023-05-01,5175.000000,5625.000000,5025.000000,5575.000000,5575.000000,3701713200
2023-06-01,5600.000000,5600.000000,5350.000000,5425.000000,5425.000000,1868006700
2023-07-01,5500.000000,5750.000000,5375.000000,5650.000000,5650.000000,2247933300
2023-08-01,5650.000000,5750.000000,5450.000000,5550.000000,5550.000000,2232087900
2023-09-01,5600.000000,5650.000000,5175.000000,5225.000000,5225.000000,2114247000
2023-10-01,5250.000000,5375.000000,4920.000000,4960.000000,4960.000000,2670566700
2023-11-01,4920.000000,5450.000000,4830.000000,5275.000000,5275.000000,2647435000
2023-12-01,5275.000000,5575.000000,5275.000000,5450.000000,5450.000000,449785100
